Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
114;437;79.19362701154193
115;439;79.95093287216861
116;440;80.71041911393786
117;441;81.47205767003692
118;442;82.23582081553883
119;443;83.00168116103606
120;445;83.76961164644649
121;446;84.53958553498575
122;447;85.31157640729941
123;448;86.08555815574988
124;449;86.86150497885211
125;450;87.63939137585339
126;451;88.41919214145167
127;453;89.20088236064811
128;454;89.98443740372909
129;455;90.76983292137334
130;456;91.55704483988012
131;457;92.34604935651402
132;458;93.1368229349631
133;459;93.9293423009064
134;460;94.72358443768707
135;461;95.51952658208813
136;462;96.31714622020746
137;463;97.11642108342858
138;464;97.91732914448465
139;465;98.71984861361256
140;466;99.52395793479445
141;467;100.32963578208387
142;468;101.13686105601391
143;469;101.94561288008532
144;470;102.75587059733164
145;471;103.56761376695937
146;472;104.38082216106096
147;473;105.19547576139843
148;474;106.01155475625558
149;475;106.82903953735695
150;476;107.64791069685134
151;477;108.46814902435847
152;478;109.28973550407659
153;479;110.11265131194966
154;480;110.9368778128923
155;481;111.76239655807092
156;482;112.58918928223954
157;483;113.41723790112889
158;484;114.24652450888732
159;484;115.07703137557195
160;485;115.90874094468904
161;486;116.74163583078212
162;487;117.57569881706661
163;488;118.41091285310983
164;489;119.24726105255513
165;490;120.08472669088923
166;491;120.92329320325126
167;492;121.76294418228292
168;492;122.60366337601852
169;493;123.44543468581378
170;494;124.28824216431263
171;495;125.1320700134512
172;496;125.97690258249753
173;497;126.82272436612709
174;497;127.66952000253218
175;498;128.51727427156527
176;499;129.3659720929149
177;500;130.2155985243138
178;501;131.0661387597783
179;501;131.91757812787802
180;502;132.76990209003577
181;503;133.62309623885648
182;504;134.4771462964846
183;505;135.3320381129895
184;505;136.18775766477796
185;506;137.0442910530336
186;507;137.9016245021819
187;508;138.75974435838128
188;509;139.6186370880386
189;509;140.47828927634947
190;510;141.33868762586212
191;511;142.19981895506476
192;512;143.06167019699586
193;512;143.92422839787685
194;513;144.78748071576638
195;514;145.65141441923652
196;515;146.51601688606974
197;515;147.38127560197643
198;516;148.24717815933263
199;517;149.11371225593751
200;517;149.98086569379024
201;518;150.8486263778858
202;519;151.71698231502938
203;520;152.58592161266893
204;520;153.45543247774555
205;521;154.32550321556164
206;522;155.1961222286659
207;522;156.06727801575528
208;523;156.93895917059348
209;524;157.8111543809456
210;525;158.68385242752868
211;525;159.55704218297774
212;526;160.43071261082724
213;527;161.3048527645076
214;527;162.17945178635603
215;528;163.05449890664238
216;529;163.92998344260872
217;529;164.80589479752314
218;530;165.68222245974698
219;531;166.5589560018156
220;531;167.4360850795324
221;532;168.3135994310756
222;533;169.1914888761179
223;533;170.06974331495843
224;534;170.94835272766727
225;535;171.8273071732416
226;535;172.7065967887741
227;536;173.58621178863268
228;536;174.46614246365186
229;537;175.34637918033513
230;538;176.2269123800686
231;538;177.1077325783454
232;539;177.98883036400065
233;540;178.87019639845704
234;540;179.75182141498072
235;541;180.63369621794737
236;541;181.51581168211789
237;542;182.39815875192448
238;543;183.2807284407658
239;543;184.16351183031196
240;544;185.04650006981876
241;544;185.92968437545096
242;545;186.8130560296148
243;546;187.69660638029933
244;546;188.58032684042627
245;547;189.4642088872087
246;547;190.3482440615183
247;548;191.2324239672605
248;549;192.11674027075833
249;549;193.00118470014388
250;550;193.8857490447582
251;550;194.77042515455838
252;551;195.65520493953295
253;552;196.54008036912438
254;552;197.42504347165942
255;553;198.31008633378644
256;553;199.19520109992027
257;554;200.08037997169396
258;554;200.96561520741767
259;555;201.8508991215445
260;556;202.73622408414298
261;556;203.62158252037642
262;557;204.5069669099887
263;557;205.39236978679668
264;558;206.27778373818893
265;558;207.16320140463102
266;559;208.04861547917653
