Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
143;469;126.68908018738693
144;470;127.71214151660115
145;471;128.7365292412709
146;472;129.7622160173674
147;473;130.7891748064751
148;474;131.81737887110125
149;475;132.84680177008323
150;476;133.87741735409054
151;477;134.9091997612191
152;478;135.94212341267524
153;479;136.97616300854736
154;480;138.01129352366235
155;481;139.047490203525
156;482;140.0847285603382
157;483;141.12298436910163
158;484;142.16223366378722
159;484;143.2024527335891
160;485;144.24361811924626
161;486;145.28570660943655
162;487;146.32869523723934
163;488;147.37256127666615
164;489;148.4172822392568
165;490;149.46283587073975
166;491;150.5092001477555
167;492;151.55635327464074
168;492;152.60427368027229
169;493;153.65294001496966
170;494;154.70233114745412
171;495;155.75242616186364
172;496;156.80320435482213
173;497;157.85464523256167
174;497;158.90672850809665
175;498;159.95943409844858
176;499;161.01274212192033
177;500;162.06663289541905
178;501;163.12108693182626
179;501;164.17608493741426
180;502;165.23160780930777
181;503;166.28763663299014
182;504;167.34415267985247
183;505;168.40113740478552
184;505;169.45857244381295
185;506;170.51643961176512
186;507;171.5747208999927
187;508;172.63339847411936
188;509;173.69245467183208
189;509;174.7518720007094
190;510;175.81163313608573
191;511;176.8717209189516
192;512;177.932118353889
193;512;178.992808607041
194;513;180.05377500411515
195;514;181.1150010284196
196;515;182.1764703189317
197;515;183.23816666839838
198;516;184.30007402146714
199;517;185.36217647284815
200;517;186.4244582655054
201;518;187.48690378887784
202;519;188.5494975771286
203;520;189.6122243074227
204;520;190.67506879823236
205;521;191.7380160076691
206;522;192.8010510318427
207;522;193.86415910324598
208;523;194.92732558916526
209;524;195.99053599011592
210;525;197.05377593830246
211;525;198.11703119610286
212;526;199.18028765457638
213;527;200.2435313319951
214;527;201.30674837239775
215;528;202.3699250441665
216;529;203.4330477386253
217;529;204.49610296866018
218;530;205.5590773673606
219;531;206.6219576866818
220;531;207.68473079612744
221;532;208.7473836814525
222;533;209.80990344338596
223;533;210.87227729637283
224;534;211.93449256733504
225;535;212.9965366944516
226;535;214.05839722595664
227;536;215.12006181895572
228;536;216.18151823826003
229;537;217.24275435523788
230;538;218.3037581466835
231;538;219.36451769370257
232;539;220.42502118061446
233;540;221.48525689387077
234;540;222.54521322098964
235;541;223.60487864950613
236;541;224.66424176593813
237;542;225.72329125476705
238;543;226.78201589743384
239;543;227.84040457134978
240;544;228.89844624892152
241;544;229.95612999659033
242;545;231.01344497388573
243;546;232.0703804324923
244;546;233.12692571533063
245;547;234.18307025565116
246;547;235.2388035761412
247;548;236.29411528804502
248;549;237.34899509029634
249;549;238.40343276866366
250;550;239.4574181949073
251;550;240.51094132594915
252;551;241.56399220305377
253;552;242.61656095102137
254;552;243.6686377773923
255;553;244.72021297166282
256;553;245.77127690451198
257;554;246.82182002703962
258;554;247.8718328700147
259;555;248.9213060431348
260;556;249.9702302342954
261;556;251.01859620887012
262;557;252.0663948090007
263;557;253.11361695289668
264;558;254.16025363414542
265;558;255.20629592103148
266;559;256.2517349558651
267;559;257.29656195432096
268;560;258.34076820478515
269;560;259.3843450677115
270;561;260.4272839749873
271;562;261.46957642930704
272;562;262.5112140035553
273;563;263.55218834019774
274;563;264.59249115068064
275;564;265.632114214839
276;564;266.6710493803122
277;565;267.7092885619676
278;565;268.7468237413326
279;566;269.783646966034
280;566;270.8197503492448
281;567;271.85512606913915
282;567;272.8897663683538
283;568;273.92366355345746
284;568;274.9568099944273
285;569;275.98919812413203
286;569;277.0208204378224
287;570;278.0516694926281
288;570;279.08173790706167
289;571;280.1110183605292
290;571;281.13950359284706
291;572;282.1671864037653
292;572;283.1940596524976
293;573;284.2201162572567
294;573;285.245349194797
295;574;286.26975149996235
296;574;287.29331626524026
297;575;288.3160366403215
298;575;289.33790583166615
299;576;290.35891710207443
300;576;291.379063770264
301;577;292.39833921045226
302;577;293.41673685194394
303;578;294.4342501787245
304;578;295.45087272905835
305;579;296.46659809509265
306;579;297.48141992246576
307;580;298.4953319099209
308;580;299.50832780892483
309;581;300.52040142329145
310;581;301.5315466088098
311;582;302.54175727287713
312;582;303.55102737413654
313;583;304.55935092211917
314;583;305.5667219768909
315;584;306.57313464870333
316;584;307.57858309764947
317;584;308.5830615333233
318;585;309.58656421448393
319;585;310.5890854487236
320;586;311.5906195921401
321;586;312.59116104901307
322;587;313.5907042714841
323;587;314.5892437592413
324;588;315.58677405920696
325;588;316.58328976522944
326;589;317.5787855177791
327;589;318.5732560036472
328;589;319.5666959556488
329;590;320.5591001523295
330;590;321.550463417675
331;591;322.5407806208249
332;591;323.5300466757892
333;592;324.5182565411686
334;592;325.50540521987796
335;593;326.49148775887295
336;593;327.4764992488799
337;593;328.46043482412915
338;594;329.4432896620906
339;594;330.4250589832136
340;595;331.40573805066845
341;595;332.3853221700921
342;596;333.3638066893358
343;596;334.34118699821613
344;596;335.31745852826884
345;597;336.29261675250507
346;597;337.26665718517074
347;598;338.2395753815083
348;598;339.21136693752146
349;599;340.18202748974215
350;599;341.1515527150002
351;599;342.11993833019574
352;600;343.0871800920735
353;600;344.0532737970001
354;601;345.0182152807439
355;601;345.98200041825623
356;601;346.94462512345615
357;602;347.9060853490164
358;602;348.8663770861525
