Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Углеводородный
ПТМ: 8.5
""
Время, с;Тв, С;Тст, С
121;845;194.17741079167735
122;846;196.1211166527816
123;846;198.06441759420352
124;847;200.00726083652006
125;848;201.94959550917906
126;849;203.89137257437847
127;850;205.83254475382057
128;851;207.77306645824348
129;852;209.71289371963638
130;852;211.6519841260464
131;853;213.5902967588873
132;854;215.5277921326632
133;855;217.46443213702156
134;856;219.40017998105384
135;856;221.33500013976283
136;857;223.26885830261932
137;858;225.2017213241321
138;859;227.13355717635824
139;859;229.0643349032825
140;860;230.99402457699728
141;861;232.92259725561627
142;862;234.85002494285715
143;862;236.7762805492315
144;863;238.70133785478123
145;864;240.62517147330334
146;865;242.54775681800652
147;865;244.46907006854576
148;866;246.38908813938178
149;867;248.307788649415
150;867;250.22514989284468
151;868;252.14115081120724
152;869;254.05577096654667
153;869;255.96899051567402
154;870;257.880790185474
155;871;259.79115124921714
156;872;261.70005550383894
157;872;263.6074852481478
158;873;265.51342326192525
159;874;267.41785278588395
160;874;269.3207575024493
161;875;271.22212151733174
162;876;273.12192934186
163;876;275.02016587604294
164;877;276.9168163923332
165;877;278.8118665200635
166;878;280.70530223052936
167;879;282.5971098226921
168;879;284.48727590947794
169;880;286.3757874046486
170;881;288.2626315102216
171;881;290.1477957044169
172;882;292.0312677301099
173;883;293.9130355837698
174;883;295.7930875048643
175;884;297.6714119657112
176;884;299.5479976617596
177;885;301.4228335022832
178;886;303.2959086014679
179;886;305.1672122698802
180;887;307.0367340062985
181;888;308.90446348989394
182;888;310.77039057274635
183;889;312.63450527268185
184;889;314.49679776641835
185;890;316.35725838300743
186;891;318.21587759755994
187;891;320.07264602524367
188;892;321.92755441554243
189;892;323.78059364676574
190;893;325.6317547207984
191;893;327.48102875808104
192;894;329.32840699281144
193;895;331.1738807683581
194;895;333.0174415328771
195;896;334.8590808351237
196;896;336.6987903204513
197;897;338.5365617269896
198;898;340.37238688199477
199;898;342.20625769836477
200;899;344.0381661713121
201;899;345.8681043751891
202;900;347.6960644604578
203;900;349.5220386507999
204;901;351.34601924035985
205;901;353.1679985911161
206;902;354.9879691303754
207;903;356.8059233483849
208;903;358.6218537960568
209;904;360.4357530828013
210;904;362.24761387446324
211;905;364.05742889135865
212;905;365.8651909064058
213;906;367.67089274334796
214;906;369.47452727506356
215;907;371.2760874219605
216;908;373.0755661504503
217;908;374.87295647149995
218;909;376.6682514392568
219;909;378.4614441497447
220;910;380.25252773962757
221;910;382.04149538503805
222;911;383.8283403004684
223;911;385.61305573772063
224;912;387.3956349849137
225;912;389.1760713655458
226;913;390.9543582376085
227;913;392.73048899275113
228;914;394.50445705549316
229;914;396.2762558824826
230;915;398.0458789617983
231;915;399.81331981229437
232;916;401.5785719829847
233;916;403.3416290524666
234;917;405.1024846283807
235;917;406.86113234690674
236;918;408.6175658722931
237;918;410.37177889641794
238;919;412.1237651383825
239;919;413.873518344133
240;920;415.62103228611124
241;920;417.3663007629324
242;921;419.1093175990884
243;921;420.85007664467616
244;922;422.5885717751496
245;922;424.324796891094
246;923;426.05874591802217
247;923;427.79041280619094
248;924;429.51979153043794
249;924;431.2468760900364
250;925;432.97166050856845
251;925;434.6941388338155
252;926;436.41430513766466
253;926;438.13215351603105
254;927;439.84767808879496
255;927;441.56087299975286
256;928;443.2717324165825
257;928;444.9802505308202
258;929;446.68642155785096
259;929;448.3902397369101
260;930;450.0916993310956
261;930;451.7907946273916
262;931;453.4875199367018
263;931;455.18186959389175
264;932;456.8738379578414
265;932;458.5634194115049
266;933;460.25060836197986
267;933;461.93539924058337
268;934;463.6177865029358
269;934;465.2977646290516
270;934;466.9753281234364
271;935;468.65047151519036
272;935;470.3231893581177
273;936;471.99347623084157
274;936;473.6613267369239
275;937;475.32673550499055
276;937;476.98969718886076
277;938;478.6502064676813
278;938;480.3082580460642
279;939;481.96384665422886
280;939;483.616967048147
281;939;485.2676140096919
282;940;486.9157823467897
283;940;488.56146689357433
284;941;490.20466251054484
285;941;491.8453640847248
286;942;493.48356652982466
287;942;495.1192647864059
288;943;496.75245382204685
289;943;498.38312863151043
290;943;500.0112842369134
291;944;501.63691568789716
292;944;503.26001806179954
293;945;504.88058646382785
294;945;506.49861602723274
295;946;508.11410191348307
296;946;509.72703931244143
297;946;511.33742344254006
298;947;512.9452495509573
299;947;514.5505129137946
300;948;516.1532088362532
301;948;517.7533326528114
302;949;519.350879727402
303;949;520.9458454535887
304;949;522.5382252547436
305;950;524.1280145842231
306;950;525.715208925545
307;951;527.2998037925632
308;951;528.881794729644
309;951;530.4611773118398
310;952;532.0379471450638
311;952;533.6120998662625
312;953;535.1836311435887
313;953;536.7525366765728
314;954;538.318812196293
315;954;539.8824534655453
316;954;541.4434562790116
317;955;543.0018164634274
318;955;544.5575298777478
319;956;546.1105924133121
320;956;547.6609999940081
321;956;549.2087485764338
322;957;550.7538341500588
323;957;552.2962527373835
324;958;553.8360003940976
325;958;555.3730732092362
326;958;556.907467305335
327;959;558.439178838584
328;959;559.968203998979
329;960;561.494539010472
330;960;563.0181801311196
331;960;564.5391236532301
332;961;566.0573659035083
333;961;567.5729032431987
334;961;569.0857320682272
335;962;570.5958488093411
336;962;572.1032499322461
337;963;573.607931937743
338;963;575.1098913618617
339;963;576.609124775993
340;964;578.1056287870189
341;964;579.5994000374409
342;965;581.0904352055065
343;965;582.5787310053331
344;965;584.0642841870305
345;966;585.5470915368209
346;966;587.0271498771574
347;966;588.5044560668398
348;967;589.9790070011287
349;967;591.4507996118577
350;967;592.9198308675429
351;968;594.3860977734909
352;968;595.849597371904
353;969;597.3103267419842
354;969;598.7682830000342
355;969;600.2234632995564
356;970;601.6758648313503
357;970;603.1254848236068
358;970;604.5723205420014
359;971;606.0163692897842
360;971;607.4576284078681
361;971;608.8960952749154
362;972;610.3317673074209
363;972;611.7646419597941
364;973;613.194716724438
365;973;614.6219891318267
366;973;616.0464567505804
367;974;617.4681171875378
368;974;618.8869680878266
369;974;620.303007134932
370;975;621.7162320507624
371;975;623.1266405957131
372;975;624.5342305687282
373;976;625.9389998073594
374;976;627.3409461878236
375;976;628.740067625057
376;977;630.136362072768
377;977;631.5298275234873
378;977;632.9204620086163
379;978;634.3082635984724
380;978;635.693230402333
381;978;637.0753605684765
382;979;638.4546522842215
383;979;639.8311037759637
384;979;641.2047133092103
385;980;642.5754791886126
386;980;643.943399757996
387;980;645.3084734003879
388;981;646.6706985380439
389;981;648.0300736324704
390;981;649.3865971844464
391;982;650.7402677340427
392;982;652.0910838606387
393;982;653.4390441829368
394;983;654.7841473589749
395;983;656.1263920861372
396;983;657.4657771011617
397;984;658.8023011801464
398;984;660.1359631385532
399;984;661.4667618312092
400;985;662.7946961523065
401;985;664.1197650353993
402;985;665.441967453399
403;986;666.7613024185674
404;986;668.0777689825075
405;986;669.3913662361522
406;987;670.7020933097514
407;987;672.0099493728559
408;987;673.3149336343004
409;988;674.6170453421837
410;988;675.9162837838471
411;988;677.2126482858505
412;988;678.5061382139467
413;989;679.7967529730533
414;989;681.0844920072234
415;989;682.3693547996128
416;990;683.6513408724468
417;990;684.9304497869837
418;990;686.2066811434772
419;991;687.4800345811364
420;991;688.7505097780834
421;991;690.0181064513099
422;992;691.2828243566312
423;992;692.5446632886382
424;992;693.8036230806478
425;992;695.0597036046512
426;993;696.3129047712603
427;993;697.5632265296518
428;993;698.8106688675107
429;994;700.05523181097
430;994;701.2969154245501
431;994;702.5357198110958
432;995;703.7716451117112
433;995;705.0046915056934
434;995;706.2348592104632
435;995;707.4621484814959
436;996;708.6865596122481
437;996;709.9080929340845
438;996;711.1267488162019
439;997;712.3425276655522
440;997;713.5554299267625
441;997;714.7654560820547
442;997;715.9726066511628
443;998;717.1768821912485
444;998;718.3782832968153
445;998;719.5768105996206
446;999;720.7724647685864
447;999;721.9652465097084
448;999;723.1551565659632
449;999;724.3421957172142
450;1000;725.5263647801152
451;1000;726.7076646080135
452;1000;727.8860960908507
453;1001;729.061660155062
454;1001;730.2343577634736
455;1001;731.4041899151996
456;1001;732.5711576455365
457;1002;733.7352620258563
458;1002;734.8965041634983
459;1002;736.0548852016595
460;1002;737.2104063192833
461;1003;738.3630687309465
462;1003;739.5128736867456
463;1003;740.6598224721813
464;1004;741.8039164080413
465;1004;742.9451568502822
466;1004;744.0835451899094
467;1004;745.2190828528564
468;1005;746.3517712998624
469;1005;747.4816120263482
470;1005;748.6086065622915
471;1005;749.7327564721
472;1006;750.8540633544847
473;1006;751.9725288423297
474;1006;753.088154602563
475;1006;754.2009423360246
476;1007;755.3108937773338
477;1007;756.4180106947556
478;1007;757.5222948900653
479;1007;758.6237481984126
480;1008;759.7223724881842
481;1008;760.8181696608644
482;1008;761.9111416508965
483;1008;763.0012904255414
484;1009;764.0886179847355
485;1009;765.1731263609481
486;1009;766.2548176190373
487;1010;767.3336938561044
488;1010;768.4097572013484
489;1010;769.483009815918
490;1010;770.5534538927639
491;1011;771.6210916564894
492;1011;772.6859253632003
493;1011;773.7479573003536
494;1011;774.8071897866057
495;1011;775.8636251716589
496;1012;776.9172658361076
497;1012;777.9681141912836
498;1012;779.0161726791002
499;1012;780.0614437718957
500;1013;781.1039299722756
501;1013;782.1436338129547
502;1013;783.1805578565977
503;1013;784.2147046956595
504;1014;785.246076952224
505;1014;786.274677277843
506;1014;787.3005083533737
507;1014;788.323572888816
508;1015;789.3438736231478
509;1015;790.361413324162
510;1015;791.3761947882995
511;1015;792.3882208404852
512;1016;793.3974943339604
513;1016;794.404018150115
514;1016;795.4077951983215
515;1016;796.4088284157647
516;1017;797.4071207672737
517;1017;798.4026752451516
518;1017;799.3954948690057
519;1017;800.3855826855765
520;1017;801.3729417685665
521;1018;802.3575752184679
522;1018;803.3394861623901
523;1018;804.3186777538876
524;1018;805.2951531727856
525;1019;806.2689156250065
526;1019;807.2399683423953
527;1019;808.2083145825457
528;1019;809.1739576286232
529;1019;810.1369007891908
530;1020;811.0971473980323
531;1020;812.0547008139761
532;1020;813.0095644207179
533;1020;813.961741626644
534;1021;814.9112358646535
535;1021;815.8580505919801
536;1021;816.8021892900144
537;1021;817.7436554641249
538;1021;818.6824526434798
539;1022;819.6185843808669
540;1022;820.5520542525151
541;1022;821.4828658579145
542;1022;822.4110228196366
543;1023;823.3365287831539
544;1023;824.2593874166596
545;1023;825.1796024108876
546;1023;826.0971774789316
547;1023;827.0121163560639
548;1024;827.9244227995546
549;1024;828.8341005884906
550;1024;829.7411535235942
551;1024;830.6455854270412
552;1024;831.5474001422801
553;1025;832.4466015338503
554;1025;833.3431934872001
555;1025;834.2371799085049
556;1025;835.1285647244856
557;1026;836.0173518822269
558;1026;836.9035453489948
559;1026;837.7871491120552
560;1026;838.6681671784918
561;1026;839.5466035750239
562;1027;840.4224623478251
563;1027;841.2957475623405
564;1027;842.1664633031055
565;1027;843.0346136735639
566;1027;843.9002027958859
567;1028;844.763234810787
568;1028;845.6237138773456
569;1028;846.4816441728221
570;1028;847.3370298924774
571;1028;848.1898752493914
572;1029;849.0401844742823
573;1029;849.8879618153251
574;1029;850.7332115379711
575;1029;851.5759379247672
576;1029;852.4161452751753
577;1030;853.2538379053917
578;1030;854.0890201481677
579;1030;854.9216963526289
580;1030;855.7518708840962
581;1030;856.5795481239054
582;1031;857.404732469229
583;1031;858.2274283328966
584;1031;859.0476401432161
585;1031;859.8653723437953
586;1031;860.6806293933641
587;1031;861.493415765596
588;1032;862.3037359489304
589;1032;863.1115944463957
590;1032;863.9169957754325
591;1032;864.7199444677162
592;1032;865.5204450689812
593;1033;866.3185021388445
594;1033;867.1141202506299
595;1033;867.9073039911934
596;1033;868.6980579607475
597;1033;869.4863867726872
598;1034;870.2722950534151
599;1034;871.0557874421684
600;1034;871.8368685908447
601;1034;872.6155431638297
602;1034;873.3918158378244
603;1034;874.1656913016725
604;1035;874.9371742561893
605;1035;875.7062694139902
606;1035;876.4729814993195
607;1035;877.2373152478808
608;1035;877.9992754066661
609;1036;878.7588667337873
610;1036;879.5160939983064
611;1036;880.2709619800678
612;1036;881.0234754695296
613;1036;881.7736392675965
614;1036;882.5214581854527
615;1037;883.2669370443957
616;1037;884.0100806756698
617;1037;884.750893920301
618;1037;885.489381628932
619;1037;886.2255486616582
620;1038;886.9593998878634
621;1038;887.6909401860564
622;1038;888.4201744437094
623;1038;889.1471075570942
624;1038;889.8717444311221
625;1038;890.5940899791822
626;1039;891.3141491229808
627;1039;892.0319267923821
628;1039;892.747427925249
629;1039;893.4606574672839
630;1039;894.1716203718709
631;1039;894.8803215999185
632;1040;895.586766119703
633;1040;896.2909589067119
634;1040;896.9929049434884
635;1040;897.6926092194765
636;1040;898.3900767308671
637;1040;899.0853124804437
638;1041;899.7783214774297
639;1041;900.469108737336
640;1041;901.1576792818094
641;1041;901.8440381384812
642;1041;902.5281903408174
643;1041;903.2101409279683
644;1042;903.8898949446198
645;1042;904.5674574408447
646;1042;905.2428334719557
647;1042;905.9160280983574
648;1042;906.5870463854005
649;1042;907.2558934032365
650;1043;907.9225742266717
651;1043;908.5870939350241
652;1043;909.2494576119786
653;1043;909.9096703454454
654;1043;910.567737227417
655;1043;911.2236633538266
656;1043;911.8774538244083
657;1044;912.5291137425561
658;1044;913.1786482151851
659;1044;913.8260623525928
660;1044;914.4713612683208
661;1044;915.114550079019
662;1044;915.7556339043072
663;1045;916.394617866641
664;1045;917.0315070911763
665;1045;917.6663067056352
666;1045;918.2990218401719
667;1045;918.9296576272411
668;1045;919.5582192014651
669;1045;920.1847116995027
670;1046;920.8091402599193
671;1046;921.4315100230563
672;1046;922.0518261309023
673;1046;922.6700937269657
674;1046;923.2863179561457
675;1046;923.900503964607
676;1047;924.5126568996529
677;1047;925.1227819096005
678;1047;925.7308841436559
679;1047;926.3369687517907
680;1047;926.941040884619
681;1047;927.5431056932757
682;1047;928.1431683292938
683;1048;928.741233944485
684;1048;929.3373076908194
685;1048;929.9313947203063
686;1048;930.5235001848757
687;1048;931.1136292362607
688;1048;931.7017870258815
689;1048;932.287978704728
690;1049;932.8722094232455
691;1049;933.4544843312201
692;1049;934.0348085776645
693;1049;934.6131873107054
694;1049;935.1896256774712
695;1049;935.7641288239804
696;1049;936.3367018950312
697;1050;936.9073500340917
698;1050;937.4760783831905
699;1050;938.0428920828085
700;1050;938.6077962717711
701;1050;939.170796087142
702;1050;939.7318966641164
703;1050;940.2911031359167
704;1051;940.8484206336868
705;1051;941.4038542863896
706;1051;941.9574092207033
707;1051;942.5090905609195
708;1051;943.0589034288419
709;1051;943.606852943685
710;1051;944.1529442219755
711;1051;944.697182377452
712;1052;945.2395725209674
713;1052;945.780119760391
714;1052;946.3188292005118
715;1052;946.8557059429422
716;1052;947.3907550860235
717;1052;947.9239817247308
718;1052;948.4553909505789
719;1053;948.9849878515304
720;1053;949.5127775119026
721;1053;950.0387650122761
722;1053;950.5629554294046
723;1053;951.0853538361243
724;1053;951.6059653012655
725;1053;952.1247948895634
726;1053;952.6418476615706
727;1054;953.1571286735707
728;1054;953.6706429774913
729;1054;954.1823956208191
730;1054;954.6923916465148
731;1054;955.2006360929299
732;1054;955.7071339937227
733;1054;956.2118903777757
734;1054;956.7149102691151
735;1055;957.2161986868284
736;1055;957.715760644985
737;1055;958.2136011525565
738;1055;958.7097252133374
739;1055;959.204137825868
740;1055;959.6968439833561
741;1055;960.1878486736011
742;1055;960.6771568789179
743;1056;961.1647735760614
744;1056;961.6507037361528
745;1056;962.1349523246051
746;1056;962.6175243010507
747;1056;963.0984246192688
748;1056;963.577658227114
749;1056;964.0552300664451
750;1056;964.5311450730553
751;1057;965.0054081766029
752;1057;965.4780243005418
753;1057;965.9489983620545
754;1057;966.4183352719838
755;1057;966.8860399347666
756;1057;967.3521172483679
757;1057;967.8165721042158
758;1057;968.2794093871364
759;1058;968.7406339752902
760;1058;969.2002507401089
761;1058;969.6582645462329
762;1058;970.1146802514493
763;1058;970.5695027066308
764;1058;971.0227367556754
765;1058;971.4743872354461
766;1058;971.9244589757125
767;1058;972.3729567990915
768;1059;972.81988552099
769;1059;973.2652499495475
770;1059;973.7090548855799
771;1059;974.1513051225231
772;1059;974.5920054463784
773;1059;975.0311606356574
774;1059;975.468775461329
775;1059;975.9048546867646
776;1060;976.339403067687
777;1060;976.772425352118
778;1060;977.2039262803264
779;1060;977.633910584778
780;1060;978.0623829900853
781;1060;978.4893482129582
782;1060;978.9148109621549
783;1060;979.3387759384336
784;1060;979.7612478345054
785;1061;980.1822313349871
786;1061;980.6017311163548
787;1061;981.0197518468979
788;1061;981.4362981866745
789;1061;981.8513747874665
790;1061;982.2649862927356
791;1061;982.6771373375802
792;1061;983.0878325486929
793;1061;983.4970765443172
794;1061;983.9048739342077
795;1062;984.3112293195873
796;1062;984.716147293108
797;1062;985.1196324388109
798;1062;985.5216893320865
799;1062;985.9223225396365
800;1062;986.3215366194356
801;1062;986.7193361206937
802;1062;987.1157255838191
803;1062;987.5107095403821
804;1063;987.9042925130796
805;1063;988.2964790156989
806;1063;988.6872735530837
807;1063;989.0766806210995
808;1063;989.4647047066001
809;1063;989.8513502873943
810;1063;990.2366218322138
811;1063;990.620523800681
812;1063;991.003060643277
813;1063;991.3842368013111
814;1064;991.7640567068904
815;1064;992.1425247828897
816;1064;992.5196454429222
817;1064;992.8954230913102
818;1064;993.2698621230577
819;1064;993.6429669238214
820;1064;994.0147418698839
821;1064;994.3851913281271
822;1064;994.7543196560057
823;1064;995.1221312015207
824;1065;995.4886303031951
825;1065;995.8538212900482
826;1065;996.2177084815717
827;1065;996.5802961877052
828;1065;996.9415887088142
829;1065;997.3015903356652
830;1065;997.660305349405
831;1065;998.0177380215375
832;1065;998.3738926139031
833;1065;998.7287733786568
834;1066;999.0823845582484
835;1066;999.4347303854017
836;1066;999.7858150830957
837;1066;1000.1356428645443
838;1066;1000.4842179331783
839;1066;1000.8315444826271
840;1066;1001.1776266967004
841;1066;1001.5224687493708
842;1066;1001.8660748047575
843;1066;1002.2084490171092
844;1066;1002.5495955307874
845;1067;1002.889518480252
846;1067;1003.2282219900453
847;1067;1003.5657101747772
848;1067;1003.9019871391106
849;1067;1004.2370569777477
850;1067;1004.5709237754165
851;1067;1004.9035916068574
852;1067;1005.2350645368101
853;1067;1005.565346620002
854;1067;1005.8944419011355
855;1068;1006.2223544148769
856;1068;1006.5490881858452
857;1068;1006.8746472286011
858;1068;1007.1990355476364
859;1068;1007.5222571373645
860;1068;1007.8443159821106
861;1068;1008.1652160561023
862;1068;1008.4849613234608
863;1068;1008.8035557381925
864;1068;1009.1210032441807
865;1068;1009.4373077751779
866;1068;1009.7524732547988
867;1069;1010.0665035965126
868;1069;1010.3794027036367
869;1069;1010.6911744693302
870;1069;1011.0018227765884
871;1069;1011.3113514982365
872;1069;1011.6197644969252
873;1069;1011.9270656251247
874;1069;1012.2332587251208
875;1069;1012.538347629011
876;1069;1012.8423361586997
877;1069;1013.1452281258953
878;1070;1013.4470273321067
879;1070;1013.7477375686406
880;1070;1014.0473626165983
881;1070;1014.3459062468744
882;1070;1014.6433722201541
883;1070;1014.9397642869117
884;1070;1015.2350861874095
885;1070;1015.5293416516968
886;1070;1015.8225343996089
887;1070;1016.1146681407672
888;1070;1016.4057465745784
889;1070;1016.6957733902352
890;1071;1016.9847522667169
891;1071;1017.2726868727898
892;1071;1017.5595808670087
893;1071;1017.845437897718
894;1071;1018.1302616030534
895;1071;1018.4140556109439
896;1071;1018.6968235391143
897;1071;1018.978568995087
898;1071;1019.2592955761857
899;1071;1019.5390068695374
900;1071;1019.8177064520767
901;1071;1020.0953978905488
902;1071;1020.3720847415141
903;1072;1020.647770551351
904;1072;1020.9224588562613
905;1072;1021.1961531822751
906;1072;1021.4688570452545
907;1072;1021.7405739508999
908;1072;1022.0113073947548
909;1072;1022.2810608622115
910;1072;1022.549837828517
911;1072;1022.8176417587795
912;1072;1023.0844761079741
913;1072;1023.3503443209502
914;1072;1023.6152498324375
915;1073;1023.8791960670537
916;1073;1024.1421864393117
917;1073;1024.404224353627
918;1073;1024.665313204325
919;1073;1024.9254563756501
920;1073;1025.1846572417733
921;1073;1025.4429191668
922;1073;1025.7002455047798
923;1073;1025.9566395997142
924;1073;1026.212104785567
925;1073;1026.4666443862718
926;1073;1026.7202617157436
927;1073;1026.9729600778867
928;1073;1027.2247427666052
929;1074;1027.4756130658134
930;1074;1027.7255742494458
931;1074;1027.9746295814673
932;1074;1028.2227823158846
933;1074;1028.4700356967562
934;1074;1028.716392958204
935;1074;1028.9618573244245
936;1074;1029.2064320096997
937;1074;1029.45012021841
938;1074;1029.6929251450438
939;1074;1029.934849974212
940;1074;1030.1758978806583
941;1074;1030.416072029272
942;1074;1030.6553755751008
943;1075;1030.893811663363
944;1075;1031.131383429461
945;1075;1031.3680939989933
946;1075;1031.6039464877683
947;1075;1031.8389440018177
948;1075;1032.0730896374098
949;1075;1032.3063864810626
950;1075;1032.5388376095586
951;1075;1032.7704460899579
952;1075;1033.0012149796123
953;1075;1033.2311473261805
954;1075;1033.4602461676411
955;1075;1033.6885145323083
956;1075;1033.9159554388457
957;1076;1034.1425718962819
958;1076;1034.3683669040247
959;1076;1034.5933434518768
960;1076;1034.8175045200503
961;1076;1035.0408530791833
962;1076;1035.263392090354
963;1076;1035.4851245050972
964;1076;1035.7060532654198
965;1076;1035.9261813038165
966;1076;1036.1455115432864
967;1076;1036.364046897348
968;1076;1036.5817902700571
969;1076;1036.7987445560216
970;1076;1037.0149126404187
971;1076;1037.2302973990118
972;1077;1037.4449016981664
973;1077;1037.6587283948675
974;1077;1037.8717803367367
975;1077;1038.0840603620488
976;1077;1038.2955712997493
977;1077;1038.5063159694714
978;1077;1038.7162971815533
979;1077;1038.9255177370562
980;1077;1039.1339804277816
981;1077;1039.3416880362888
982;1077;1039.5486433359129
983;1077;1039.7548490907823
984;1077;1039.9603080558372
985;1077;1040.1650229768477
986;1077;1040.3689965904312
987;1077;1040.5722316240713
988;1078;1040.774730796136
989;1078;1040.9764968158963
990;1078;1041.177532383544
991;1078;1041.3778401902114
992;1078;1041.5774229179888
993;1078;1041.776283239944
994;1078;1041.974423820141
995;1078;1042.171847313659
996;1078;1042.3685563666113
997;1078;1042.564553616164
998;1078;1042.7598416905555
999;1078;1042.9544232091164
1000;1078;1043.1483007822872
1001;1078;1043.341477011639
1002;1078;1043.5339544898925
1003;1078;1043.7257358009374
1004;1079;1043.916823519852
1005;1079;1044.1072202129228
1006;1079;1044.2969284376645
1007;1079;1044.4859507428393
1008;1079;1044.674289668477
1009;1079;1044.8619477458947
1010;1079;1045.048927497717
1011;1079;1045.2352314378954
1012;1079;1045.4208620717295
1013;1079;1045.6058218958856
1014;1079;1045.790113398418
1015;1079;1045.9737390587889
1016;1079;1046.1567013478882
1017;1079;1046.3390027280545
1018;1079;1046.5206456530952
1019;1079;1046.7016325683064
1020;1079;1046.8819659104943
1021;1080;1047.0616481079946
1022;1080;1047.2406815806942
1023;1080;1047.4190687400508
1024;1080;1047.596811989114
1025;1080;1047.773913722546
1026;1080;1047.9503763266418
1027;1080;1048.126202179351
1028;1080;1048.301393650297
1029;1080;1048.4759531007994
1030;1080;1048.649882883894
1031;1080;1048.8231853443533
1032;1080;1048.995862818709
1033;1080;1049.1679176352707
1034;1080;1049.3393521141488
1035;1080;1049.5101685672746
1036;1080;1049.6803692984215
1037;1080;1049.8499566032262
1038;1080;1050.0189327692094
1039;1081;1050.187300075797
1040;1081;1050.3550607943423
1041;1081;1050.5222171881453
1042;1081;1050.6887715124753
1043;1081;1050.8547260145917
1044;1081;1051.020082933765
1045;1081;1051.1848445012986
1046;1081;1051.3490129405493
1047;1081;1051.5125904669494
1048;1081;1051.6755792880274
1049;1081;1051.8379816034294
1050;1081;1051.999799604941
1051;1081;1052.1610354765078
1052;1081;1052.3216913942574
1053;1081;1052.4817695265206
1054;1081;1052.6412720338526
1055;1081;1052.800201069055
1056;1081;1052.9585587771962
1057;1081;1053.1163472956337
1058;1082;1053.2735687540348
1059;1082;1053.4302252743994
1060;1082;1053.5863189710794
1061;1082;1053.7418519508021
1062;1082;1053.8968263126906
1063;1082;1054.0512441482852
1064;1082;1054.2051075415652
1065;1082;1054.3584185689708
1066;1082;1054.5111792994235
1067;1082;1054.6633917943484
1068;1082;1054.8150581076952
1069;1082;1054.9661802859605
1070;1082;1055.116760368208
1071;1082;1055.266800386091
1072;1082;1055.4163023638737
1073;1082;1055.565268318452
1074;1082;1055.7137002593756
1075;1082;1055.8616001888697
1076;1082;1056.0089701018558
1077;1082;1056.1558119859733
1078;1083;1056.302127821601
1079;1083;1056.4479195818792
1080;1083;1056.5931892327299
1081;1083;1056.737938732879
1082;1083;1056.8821700338779
1083;1083;1057.0258850801242
